audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30182312.wav	mvua kubwa ilichangia ukuaji mkubwa wa majani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30450714.wav	nchi ilikuwa inaongozwa na gavana ambaye alikuwa mwakilishi wa malkia 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30671505.wav	ilijengwa kati ya mwaka elfu moja mia tisa na sabini 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30577568.wav	mwaka elfu mbili na tano kitulo likatangazwa kuwa hifadhi ya taifa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34750536.wav	fursa nyingine ni uvuvi wa bahari kuu ufugaji samaki na mazao ya bahari 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31285078.wav	operesheni hiyo ilipewa jina operation neptune spear 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29509818.wav	kutoka morogoro kuna njia nyingine ya lami hadi dodoma 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37084330.wav	kitu kipya leo imba kwa shangwe wewe uliye tasa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36944892.wav	wamekuwa wakidhani kwamba mkoa huo una kabila moja tu wakurya 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30019852.wav	imeshavutia mamia kwa maelfu ya wageni kuitembelea huku ikisubiri kufunguliwa rasmi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29902475.wav	na kuchapa kazi na pia kusimamia vyema nyumba yake 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30233705.wav	inaendelea kupokea ruaha mdogo na mto kisigo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30635647.wav	party walipewa nafasi serikalini kufikia machi okello 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29789644.wav	hatuwezi kusema tuna usawa wakati haki zetu hazizingztiwi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29796289.wav	mzee ferguson alikaa miaka ishirini na sita manchester united 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30526919.wav	hapo wanawake huwa hawaruhusiwi kuingia kuona ila wanaume tu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37091804.wav	ni tasnia inayoonekana kusaidia ukuaji wa uchumi kupitia sekta ya utalii 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29001945.wav	williams anaishi texas akiwa na mkewe pamoja na binti yao 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30364097.wav	vilevile malengo mengine yalikuwa ni katika kulinda 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29936854.wav	kiasi cha barafu juu ya mlima ni kidogo sana kuliko kiasi cha maji 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29789388.wav	kama walimwona msichana mrembo watamtafuta ndugu yao ambaye watamtaka 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37215908.wav	karibu sana kijana wangu alisema mzee makame kwa uchangamfu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30180281.wav	tangu wakati huo mji umendelea kupata umaarufu hadi sasa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30220047.wav	kutokana na ukuaji wa sayansi na technolojia katika nchi yetu ya tanzania 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37225464.wav	nikutakie kila la heri katika siku hii ya leo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29728304.wav	wiki ni nyanja za utafiti mwingi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30574832.wav	inatakiwa kujiamini kwamba ulemavu sio kikwazo cha kufanya kitu ambacho unakipenda 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36299930.wav	wa kawaida naweza kufikisha ujumbe kwa jamii kupitia wimbo nikawaelezea hali yangu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29795364.wav	nairobi nchini kenya karibu na mpaka wa uganda 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30025433.wav	mnamo elfu mbili na nne migahawa miwili ya kwanza ya mtandao ilifunguliwa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36382163.wav	kutumia mawasiliano hayo yaliyokuwepo tayari watu wa mediteraneo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35108087.wav	gera redio ufaransa kwa habari zisioengemea upande wowote huyu ni taib abdala kwambasora 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29942124.wav	wakati naanza nilikuwa upande wa habari pekee 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31808930.wav	lupembe alieleza ndege hupendelea kuogelea pamoja 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30381662.wav	mchezo wa soka unafuatiliwa sana na watu wengi ulimwenguni 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37092628.wav	zugu alijitahidi kukabiliana na maji ili amtoe jacob 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34835986.wav	ambavyo watu wanaweza kuweka nyumbani mwao 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30145858.wav	adolf hilter aliweza kuwa mwanajeshi wa kawaida 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29995193.wav	sheria hizi za muungano zilithibitisha hati za muungano 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37329863.wav	walijadiliana kuhusu ushirikiano wa kimkakati kati ya marekani na kenya kuhamasisha amani na usalama 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29023214.wav	chanzo cha madrid ni katika zamani za waroma katika hispania 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30342504.wav	huku watu wengi wakiendelea kuamini kuwa idi amin ndiye mhusika mkuu kwa mauaji 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36617544.wav	arat ni mwezi wa uhaba ambapo mvua zinanyesha kidogo husababisha mabwawa kukauka 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_32323955.wav	twelipofika twenngoja mwalimu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30653970.wav	watu wa sudani ya kusini walihamia uganda 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30176377.wav	mji wa mto wa mbu ni maarufu kwa shughuli za kiutalii 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30025864.wav	wengi wanamkata blob vipande waweze kumbeba 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29001963.wav	baadhi ni ngumu kama almasi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30182446.wav	dhoruba ilikuwa kimbunga ya kaskazini ya kitropiki 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31409809.wav	ndege nyeupe huonekana vizuri zikiwa angani hivyo kuongeza usalama wa ndege 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37089141.wav	kama unataka kukariri shairi njoo 	0
