audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28879236.wav	aliandika vitabu vya maisha ya kiroho 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30478612.wav	limetoa fursa kwa wawekezaji wa usafirishaji kwa njia ya maji kwa kutumia boti 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29795402.wav	bidhaa zake zilikubaliwa na watu wengi sana 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29935770.wav	wamekuwa wakinipa ushirikiano katika kila hatua ninayopitia 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30629884.wav	adolf hitler aliibuka kupitia chama cha jumuiya ya mataifa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28725285.wav	ziwa nyasa linapatikana kati ya nchi za malawi msumbiji na tanzania 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36385734.wav	kadhalika ushirikiano wa kisayansi umeanzishwa katika asia 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_32210947.wav	sauti 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37090988.wav	basi utakuwa mkosefu wa fadhila bila kujumuisha majina kama patrick balisidya 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28691415.wav	kutambua jadi ya spishi za maji baridi ilikuwa tatizo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29434588.wav	kwa sababu hiyo walianzisha mkutano wao wa haki za wanawake 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28690219.wav	kwa sasa ndiyo hospitali kubwa ya rufaa na mafundisho nchini 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29838518.wav	alikidhi matakwa ya katiba ya jamuhuri ya muungano wa tanzania 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29864520.wav	tanzania imejengwa katika misingi ya ushirikiano 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29815916.wav	barcelona walifunga chelsea mabao mawili 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29946215.wav	bakhresa alianza kuuza mabaki ya mazao ya baharini tu 	1
