sentence	gender	duration	audio
mji mkuu ni madrid ambayo ni pia mji mkubwa wa nchi 	male_masculine	7.2435	common_voice_sw_28682920.wav
msisitizo katika ukombozi wa barani afrika na mapambano dhidi ya ubeberu na vibaraka wao 	male_masculine	9.7275	common_voice_sw_31304499.wav
alianza kazi yake huko barcelona akicheza hasa katika hifadhi zake 	female_feminine	5.7675	common_voice_sw_29218106.wav
nyimbo hizo zote zinapatikana katika albamu ya ndani ya bongo ya sugu 	female_feminine	6.4155	common_voice_sw_28672764.wav
nafikiri suala la msingi ni kutekeleza yale tuliokumbaliana 	male_masculine	3.4275	common_voice_sw_36390723.wav
ulitilia mkazo masomo ya kiufundi kwa matarajio kuwa muundo huu mpya utawawezesha 	female_feminine	7.2435	common_voice_sw_30053172.wav
katika mazingira ya kutatanisha ama kwa kujipiga risasi kuepuka kukamatwa 	male_masculine	5.0835	common_voice_sw_29939086.wav
yapo matoleo mawili ya muziki wa video 	male_masculine	4.4355	common_voice_sw_28670201.wav
alisuluhisha migogoro mingi ya bara la afrika 	female_feminine	4.3275	common_voice_sw_29798731.wav
msichana huyu ameniathiri kwa penzi lake 	female_feminine	4.7955	common_voice_sw_31909699.wav
kuishirikisha kikamilifu jamii ya wakazi wa bagamoyo katika kupanga na kuamua mikakati madhubuti 	male_masculine	6.5235	common_voice_sw_29797217.wav
wamezikwa watu waliokuja kutoka afrika kusini na wengine walizaliwa mahali hapo 	male_masculine	6.5235	common_voice_sw_30017406.wav
akajitangaza kuwa alishinda na kujiongezea sifa ya nyingi 	male_masculine	5.4435	common_voice_sw_31323310.wav
ni mji mkuu mdogo kabisa wa nchi zote za dunia 	female_feminine	4.9755	common_voice_sw_28748375.wav
miaka ishirini na mitano baadae kisonko ndiye mwenye jukumu la kufanya olghesher 	female_feminine	9.3675	common_voice_sw_30219369.wav
alichanguliwa kuwa mbunge wa jimbo la lindi mjini 	female_feminine	4.1475	common_voice_sw_34940100.wav
anasema habari anayoikumbuka zaidi ni ile aliyoiandika akiwa makete mkoani iringa 	male_masculine	8.1075	common_voice_sw_29915204.wav
jimbo lina mapato madogo sana kuliko jimbo lolote nchini humo 	male_masculine	6.7035	common_voice_sw_28704235.wav
aliko dangote wa nigeria anaendelea kuongoza kwa utajiri kwa mwaka wa kumi mfululizo 	female_feminine	6.6675	common_voice_sw_30017473.wav
anguzi mkuu wa nchi hiyo mwaka elfu mbili na kumi na moja 	female_feminine	5.2635	common_voice_sw_34947061.wav
zaidi kwa mtu binafsi upatikanaji wa kutegemeka haijabainika wazi iwapo 	female_feminine	6.5955	common_voice_sw_37218422.wav
villaseñor ni mlatina 	female_feminine	4.3635	common_voice_sw_29253175.wav
mpira umekua laini sana nyakati hizi 	female_feminine	5.4075	common_voice_sw_30372349.wav
ndugu wa mkwawa aliwahi kuwapima kabla ya safari yake 	female_feminine	4.9035	common_voice_sw_29792471.wav
tukiendelea kubaki katika sakata la korea kaskazini waziri mkuu wa japan nao tu khan 	male_masculine	7.4955	common_voice_sw_36387573.wav
wanalaumu pia dhuluma dhidi ya wabatisti ambazo martin luther alizitetea 	male_masculine	8.6475	common_voice_sw_30095220.wav
kulikuwa na wanawake waliodhoofiwa mno waliotazama ule wazimu wa njaa 	female_feminine	6.6675	common_voice_sw_29787985.wav
gari limepata ajali 	female_feminine	2.2755	common_voice_sw_37093078.wav
huyu ndiye mwafrika mwamerika wa kwanza kuwa mwanamke wa kwanza wa marekani 	male_masculine	5.9835	common_voice_sw_28879589.wav
katika afrika ya mashariki huko bagamoyo wakiona umuhimu 	female_feminine	6.2715	common_voice_sw_30241062.wav
tulisafiri na gari lao 	female_feminine	3.4635	common_voice_sw_34812761.wav
mwanzoni kuna wahusika sita mchezaji anaweza kuchezea na watatu wa kufumbua wote ni tisa 	male_masculine	10.0875	common_voice_sw_28694214.wav
ziwa la viktoria nyanza liko kaskazini 	female_feminine	3.6435	common_voice_sw_28666542.wav
mchanga huo unaohama kwa pamoja kama kifusi kwa zaidi ya miaka kumi na saba 	male_masculine	9.9435	common_voice_sw_31370932.wav
kule na vilevile kwa askofu wa yerusalemu katika karne za baadaye 	male_masculine	6.3075	common_voice_sw_36382577.wav
sawana futi elfu kumi na tisa mia tatu arobaini 	female_feminine	4.6155	common_voice_sw_34942448.wav
wanahistoria na watalii kote duniani hutembelea 	female_feminine	4.0755	common_voice_sw_30262167.wav
fedha hizo zilitolewa na watu wenye nia njema ya elimu kwa watoto wa kike 	female_feminine	5.2635	common_voice_sw_31285462.wav
karagwe kwenye njia kuu ya biashara ya kimataifa na kupunguza umaarufu wake 	male_masculine	6.9555	common_voice_sw_36617434.wav
hifadhi imepewa jina la nyerere kama njia ya kumuenzi hayati nyerere 	female_feminine	4.3275	common_voice_sw_31823710.wav
madhumuni ya habari ya ummakupatikana kwa ufuatiliaji wa ubora wa 	female_feminine	6.9555	common_voice_sw_35156929.wav
kutoka asili yake ya meksiko puerto rico amerika ya kati na kusini mwa asia 	male_masculine	7.9275	common_voice_sw_28663160.wav
washambaa wanaishi kwenye milima ya usambara na lugha yao kubwa ni kisambaa 	male_masculine	8.7555	common_voice_sw_31321674.wav
labda ni kama mtu anaetafuta amani ndio lakini ukweli ni kwamba 	female_feminine	6.2355	common_voice_sw_34746206.wav
simba na chui hawapatikani kwenye hifadhi ya gombe 	female_feminine	3.9675	common_voice_sw_29791092.wav
kitulo na udzungwa ada yake kwa mtu wa 	female_feminine	5.1555	common_voice_sw_29848004.wav
utawala wa wazungu uliwapa mateso makubwa 	male_masculine	4.6155	common_voice_sw_30671243.wav
akiwa chuoni nkrumah alikusanya wanafunzi kutoka nchi za afrika 	female_feminine	5.7675	common_voice_sw_30176113.wav
ipo pia hifadhi ya taifa ya rubondo 	male_masculine	4.0755	common_voice_sw_29822459.wav
pia ardhi yenye rutuba kwa mifungo kama vile ngombe mbuzi kondoo na punda 	female_feminine	6.0555	common_voice_sw_34920400.wav
kugawa sentensi katika kiima na kiarifu 	female_feminine	3.8235	common_voice_sw_34842849.wav
kaskazini magharibi mwa tanzania mpakani mwa nchi hizi mbili 	female_feminine	6.5955	common_voice_sw_29793234.wav
alianzisha mikakati mbalimbali ya kimaendeleo kuimarisha uchumi 	female_feminine	5.2275	common_voice_sw_30653899.wav
faida yake ni kupigana na adui anayeonekana uso kwa uso 	female_feminine	5.3355	common_voice_sw_30574872.wav
ncha ya kaskazini ya kijiografia iko katikati ya bahari ya aktiki 	female_feminine	5.9475	common_voice_sw_28584508.wav
samora akaahidi kutoa kikosi chake kuja kusaidiana na tanzania 	female_feminine	7.2435	common_voice_sw_30108718.wav
walipewa hadhi ya kuwa jiji na mheshimiwa rais 	female_feminine	3.8235	common_voice_sw_29922586.wav
italia ilikuwa na nyota wengi sana wa kutisha mwaka 	male_masculine	4.3275	common_voice_sw_30026489.wav
anaheshimiwa tangu zamani kama mtakatifu 	male_masculine	4.0035	common_voice_sw_28582672.wav
mwandishi anaandika anarekodi mazungumzo na kuyahariri vizuri 	male_masculine	5.2275	common_voice_sw_36386637.wav
kinaweza kulenga wadudu wenyewe mayai au lava 	female_feminine	5.9835	common_voice_sw_28809172.wav
utumiaji wa mbinu zinazokubalika kwa kawaida hauna haja ya kutoa hitimisho 	male_masculine	7.4955	common_voice_sw_29789445.wav
mazao ya chakula na biashara kama mpunga katani na mahindi zimeinua maendeleo kiuchumi 	male_masculine	6.6675	common_voice_sw_30677312.wav
wengi wanazidi kunufaika na vivutio vingi vilivyopo hapa tanzania 	female_feminine	6.5955	common_voice_sw_30230557.wav
nchi tofauti wacha tumaini kwamba mwishowe waturuki wa 	female_feminine	3.9675	common_voice_sw_35279643.wav
wanyama wengine wanaopatikana gombe ni kima wenye mkia mwekundu na bluu 	female_feminine	6.7035	common_voice_sw_29791248.wav
waliopewa kazi ya kuzunguka nchi nzima 	female_feminine	4.0035	common_voice_sw_30323654.wav
kumsaidia wapiganaji pia warundi walitumia ardhi ya buha kupigana na wanyamwez 	female_feminine	5.1555	common_voice_sw_37092582.wav
zidane akatoka juventus akajiunga real madrid 	female_feminine	7.04365625	common_voice_sw_30003898.wav
kusini wapo wadakama hawa wanaweza kuwa shinyanga ama tabora 	female_feminine	7.2435	common_voice_sw_29789366.wav
rasilimali ya msitu huu ni kubwa mno na ya kutosha 	male_masculine	5.5875	common_voice_sw_30181727.wav
naam tumeshudia mengi wakati wachezaji aa wa timu ya taifa wanavyocheza kaulivyosema 	male_masculine	9.2955	common_voice_sw_37084378.wav
laki moja na saba mia nne sabini na tatu 	male_masculine	5.9475	common_voice_sw_34743185.wav
yanayolenga kumuunga mkono rais alasan watera 	female_feminine	5.4075	common_voice_sw_36106572.wav
mbwa mkuu huitwa dume alfa 	male_masculine	4.1835	common_voice_sw_28735769.wav
safari zake nchini uholanzi ziliwatia moyo wananchi na kuungana 	female_feminine	6.9555	common_voice_sw_30188829.wav
kutaka kutumia taratibu zilizo kinyume na sheria 	female_feminine	4.3635	common_voice_sw_34766229.wav
huko nyuma alneda com na jehad net zilikuwa tovuti muhimu zaidi za al qaeda 	male_masculine	9.9075	common_voice_sw_28704182.wav
timu ya taifa ya brazil ilikuwa na kikosi imara sana 	male_masculine	4.0755	common_voice_sw_30082914.wav
umiliki wa ardhi umeongezeka kwa wanawake kutoka asilimia sita 	female_feminine	5.8755	common_voice_sw_29789862.wav
kule hasa wa lugha za kikuyu na kijaluo 	female_feminine	5.7675	common_voice_sw_34743325.wav
wajerumani walipinga kifo cha sokoine kabisa 	female_feminine	4.3275	common_voice_sw_31787791.wav
rais wa jumuiya hiyo hapo mwaka elfu mia tisa hamsini na tatu 	female_feminine	6.2355	common_voice_sw_29847416.wav
aliunga mkono jaribio lake la kuanzisha uasi uganda 	female_feminine	6.2355	common_voice_sw_29947040.wav
wahenga walisema kizuri huwa hakidumu mwenyezi mungu ampumzishe kwa amani maalim self 	female_feminine	7.9635	common_voice_sw_29818047.wav
watalii wanayapiga picha magofu hayo kwa kumbukumbu zaidi 	female_feminine	4.6875	common_voice_sw_31406117.wav
malaria huenezwa na mbu aina ya anofelesi 	female_feminine	5.1195	common_voice_sw_30227874.wav
viongozi waifanye sasa kazi ya kuondokana na ubaguzi 	female_feminine	5.9475	common_voice_sw_35180654.wav
rais magufuli uliamini katika kazi na katika kupendana 	male_masculine	5.0835	common_voice_sw_30675016.wav
pia kuna wasemaji wachache nchini guinea 	male_masculine	3.4275	common_voice_sw_28994474.wav
maana ya jumamosi jumapili nakadhalika 	female_feminine	3.6075	common_voice_sw_28583382.wav
miongoni mwa kanuni zilizowekwa ni zile za kukataa utumiaji wa mikono 	female_feminine	5.9835	common_voice_sw_34924822.wav
halmashauri ya jiji la dar es salaam iliundwa na kupewa majukumu ya kuratibu 	male_masculine	4.8675	common_voice_sw_30021020.wav
tukiondoka huku tukielekea nchini uingereza kocha mkuu wa kablu ya manchester city 	female_feminine	5.7675	common_voice_sw_34946619.wav
kila sehemu mwili ulipopitishwa kulipambwa na maua nguo za vijana na vitenge 	female_feminine	6.4155	common_voice_sw_30372265.wav
gari lake hupinda upande moja 	female_feminine	2.8875	common_voice_sw_35118897.wav
mama mjamzito anaweza kusikia maumivu ya kichwa 	female_feminine	3.7875	common_voice_sw_34958288.wav
sehemu ya magharibi ni maji safi wakati nusu ya mashariki ni ya chumvi 	female_feminine	5.9835	common_voice_sw_29578617.wav
pamoja na umasikini wake wa rasilimali na madhila mengine ya ukoloni mkongwe 	female_feminine	5.4075	common_voice_sw_35118905.wav
kwamba wamepasuka ndo maana wanabeba ujauzito 	male_masculine	5.2275	common_voice_sw_29887264.wav
ulinzi na polisi ya kitaifa ilipindua serikalinkrumah alishindwa kurudi kwa miaka kadhaa alikaa 	female_feminine	8.3955	common_voice_sw_34832420.wav
nimekuwa nikijikaza masomoni kwa miaka mitano sasa 	male_masculine	7.2435	common_voice_sw_34390739.wav
uwajibikaji ulianzishwa mwaka elfu moja mia tisa tisini na sita 	male_masculine	6.4155	common_voice_sw_30258415.wav
uwazi na uwajibikaji ulianzishwa mwaka elfu moja mia tisa tisini na sita 	female_feminine	5.8755	common_voice_sw_35105936.wav
wakati mzuri wa kutembelea hifadhi hii kuangalia wanyama 	male_masculine	4.2555	common_voice_sw_29996413.wav
kuitwa mawingu studio iliyokuwa chini ya mawingu hivi sasa kikundi cha media cha mawingu 	female_feminine	5.2635	common_voice_sw_37087204.wav
kwanza baada ya kuongoka kila wakati ulifurahia zaidi kitu fulani 	female_feminine	5.4435	common_voice_sw_35099919.wav
milima ya atlas inayopatikana katika taifa la morocco 	male_masculine	6.7755	common_voice_sw_29843446.wav
patrice lumumba alitoa hotuba yake ya kwanza kama waziri mkuu 	female_feminine	5.92765625	common_voice_sw_30004552.wav
emmanuel ni mrefu 	male_masculine	2.2035	common_voice_sw_35132750.wav
idi amin alikuwa mwana wa andreas nyabire 	female_feminine	4.6875	common_voice_sw_29791031.wav
wana pamba ndefu zile za dume ndefu kuliko zile za jike 	male_masculine	7.2075	common_voice_sw_29449268.wav
waziri mkuu wa uchina li keqiang alitoa wito wa kutia juhudi 	male_masculine	5.9475	common_voice_sw_29796636.wav
mzee mkapa hakuwa mtu anayependa vita 	male_masculine	3.8955	common_voice_sw_30122284.wav
mashindano hayo kukamilika hii ikiwa ina maana kwamba tottenham hotspurs 	female_feminine	6.0555	common_voice_sw_35206680.wav
rais samia suluhu hassan ametoa ajira mpya kwa vyombo vya usalama 	male_masculine	4.5075	common_voice_sw_37090248.wav
ilikuwa ni kukumbatia sera za kiuchumi za shirika la fedha la kimataifa 	male_masculine	5.9835	common_voice_sw_30419920.wav
na kuwaondolea shida ya maji ambayo imekuwa ni tatizo kubwa kwa jamii za kiafrika 	male_masculine	7.7475	common_voice_sw_30342562.wav
mlipuko wa mwisho ulitokea na hadithi nyingi za huko zilionesha 	female_feminine	5.7675	common_voice_sw_30053591.wav
kwa kudai uwepo wa roho pia katika umbile la binadamu 	female_feminine	5.8035	common_voice_sw_28582100.wav
usiku mmoja alivurugwa na ulimi wake 	female_feminine	3.2475	common_voice_sw_34942788.wav
pia raia wa burundi wanapeleka bidhaa zao tanzania kutafuta soko 	female_feminine	5.6235	common_voice_sw_30056152.wav
katika makanisa mengine huwa askofu mkuu ni askofu kiongozi wa nchi fulani 	female_feminine	5.8755	common_voice_sw_29636711.wav
ndiye mwakilishi wa bunge kwa ujumla 	female_feminine	4.3275	common_voice_sw_29695334.wav
wakifanya vikao mbalimbali na hapo kesho basi watarajiwa kutoa uamuzi waliofikia 	male_masculine	7.6755	common_voice_sw_36385542.wav
mifumo ya kutoa makafara na ya upatanisho yaliagizwa ili kuwapatanisha wavunjaji wa amri kumi 	female_feminine	10.0155	common_voice_sw_35177057.wav
busara hii ilitokea kama matokeo ya mgongano 	female_feminine	4.8675	common_voice_sw_34766379.wav
biashara ya mifugo kuliko awali na kuendeleza na kuboresha 	female_feminine	7.4955	common_voice_sw_30572119.wav
wataadhibiwa kwa kutekeleza sheria za rwanda za makosa ya jinai wanaostahili kusaidiwa ni yatima 	female_feminine	8.2155	common_voice_sw_35586800.wav
kuwekewa kiungo kipya kuwekewa damu kuchangia sindano au vitu vingine vinavyotoboa ngozi 	female_feminine	7.3155	common_voice_sw_31433772.wav
rais alielezwa juu ya suala hili ilia toe ruhusa ya uraia wa nchi mbili 	female_feminine	7.3875	common_voice_sw_34831736.wav
inayojulikana kwa jina la umoja wa afrika 	female_feminine	3.6435	common_voice_sw_29798362.wav
chama cha mapinduzi ndicho kinashikilia dola 	male_masculine	4.5435	common_voice_sw_30364510.wav
mawe ya kombeo kwa ajili ya kuwindia 	female_feminine	4.5435	common_voice_sw_30219354.wav
moshi kama vile maji yanayochemka jikoni kumbe sio kweli 	male_masculine	5.63965625	common_voice_sw_30631276.wav
kocha aliyekuwa ameshinda ubingwa wa dunia 	male_masculine	5.2275	common_voice_sw_29961274.wav
mkato una matumizi mengine yafuatayo 	female_feminine	3.8235	common_voice_sw_34743656.wav
kila kundi likiwa na shule mia moja bora 	female_feminine	4.9035	common_voice_sw_28581620.wav
kama ndiyo kwanza anajiunga nasi haya ni makala ya gurudumu la uchumi 	female_feminine	5.0475	common_voice_sw_35103779.wav
wanaoishi katika mkoa wa kagera katika wilaya ya karagwe na kyerwa 	female_feminine	6.4875	common_voice_sw_29924656.wav
unaopikwa kutokana na unga wa mahindi yaliyokobolewa na kuvundikwa kwa muda mrefu 	male_masculine	10.4835	common_voice_sw_31304418.wav
uharibifu wa mazingira unatokana na sababu mbalimbali 	male_masculine	4.9035	common_voice_sw_29981672.wav
kila kabila lina washamba na wasio washamba kutegemeana na aina ya ushamba 	male_masculine	5.8755	common_voice_sw_30634776.wav
za aina mbalimbali na mchambuzi wa soka 	male_masculine	3.4275	common_voice_sw_30434369.wav
mlima mwinangombe upo pia mlima myanko 	male_masculine	5.2275	common_voice_sw_30066443.wav
hapo zamani wapare walikuwa wakijihusisha na shughuli mbalmbali kama vile kufua vyuma 	male_masculine	6.9555	common_voice_sw_29788487.wav
maana yake ni upande wa kusini kama wanavyoita wao 	female_feminine	4.9755	common_voice_sw_29925964.wav
wengi hufanya taarabu kwa mfumo wa bendi kwa kuwa inahitaji ushirikiano kwenye uimbaji 	female_feminine	8.3235	common_voice_sw_35409579.wav
huu ni ugaidi kabisa katika eneo hili jambo la kwanza linaloumiza ni 	male_masculine	5.6235	common_voice_sw_36375313.wav
mwaka elfu moja mia nane tisini na nane wamatumbi wakagundua mbinu nyingine 	female_feminine	6.0555	common_voice_sw_36644949.wav
unaishia kwenye bahari ya atlantiki 	female_feminine	3.9675	common_voice_sw_29749154.wav
hukumbwa na hali hiyo hasa wakati ambao tayari virusi hivyo vimeshatengeneza ugonjwa wenyewe 	male_masculine	7.5675	common_voice_sw_30634777.wav
zinafanyika shughuli za usafirishaji wa mizigo na abiria pia 	male_masculine	5.31565625	common_voice_sw_30630847.wav
ipo umbali wa kilomita mbili kusini magharibi kutoka katikati ya jiji la mwanza 	female_feminine	7.0275	common_voice_sw_30080656.wav
baada ya hapo alichukuliwa na runinga ya chicago kuanzisha kipindi chake mwenyewe 	male_masculine	6.1275	common_voice_sw_29996138.wav
hutegemea jumla ya nafasi za kulala zinazopatikana katika vyuo vyote vya umma 	male_masculine	6.4875	common_voice_sw_28682557.wav
kama sehemu ya hatua zinazoambatana na serikali mpya ya msumbiji 	male_masculine	4.1835	common_voice_sw_29943819.wav
ghana waliibuka mabingwa kwa ushindi kwa penati 	male_masculine	3.5355	common_voice_sw_30099691.wav
ni wasanii ambao wanauchukulia kwa umakini muziki wao mtu mwingine muhimu wa kumkumbuka kwenye 	female_feminine	8.4675	common_voice_sw_34812592.wav
mikoa na wilaya pamoja na halmashauri hizi ni kwa upande wa tanzania bara 	male_masculine	7.4955	common_voice_sw_29787557.wav
hali hii ilijitokeza pwani ya afrika magharibi mahali ambapo palikuwa ndio kitovu cha biashara 	female_feminine	7.4235	common_voice_sw_30353353.wav
madini haya ya kobalt yanatuimika kutengeneza vifaa vya simu za aina mbalimbali 	female_feminine	7.1355	common_voice_sw_29792155.wav
wahindi waarabu na wa persia walipagundua zanzibar kwa kupitia upepo mkali wa monsoon 	male_masculine	7.9995	common_voice_sw_36386017.wav
mwendesha mashtaka wa serikali ndiye msimamizi mkuu wa kesi hizo 	male_masculine	5.9475	common_voice_sw_31357118.wav
ngombe ni mfugo maarufu sana katika afrika mashariki 	male_masculine	5.3355	common_voice_sw_29976274.wav
wareno na wahispania waliunda utawala wao kule amerika 	female_feminine	8.1075	common_voice_sw_34596920.wav
waliochaguliwa ni hawa 	male_masculine	2.3475	common_voice_sw_37098705.wav
sababu kama ni makosa umefanya na unaogopa kwamba utaondolewa na 	female_feminine	4.7235	common_voice_sw_37218917.wav
mwaka elfu moja mia tisa themanini na tatu 	female_feminine	4.5435	common_voice_sw_30075815.wav
mila za kingoni ndoa za koo moja huwa zinapitia katika matukio kadhaa 	male_masculine	5.8035	common_voice_sw_30354900.wav
halina makazi ya binadamu katika maeneo yake ya pembeni 	male_masculine	3.6075	common_voice_sw_29942847.wav
lakini misitu ya acacia imebadilishwa na misitu yenye majani mapana 	male_masculine	5.9475	common_voice_sw_29995155.wav
richard mbunda akizungumza na mwandishi wetu 	female_feminine	3.7875	common_voice_sw_35105211.wav
kwa wale wanaojiingiza katika mahusiano pia husaidia kupunguza hatari ya maambukizi 	male_masculine	7.3155	common_voice_sw_29954134.wav
kiasili sinodi ilikuwa mkutano wa maaskofu wa eneo fulani 	male_masculine	7.9635	common_voice_sw_28592246.wav
kila kabila lilikuwa linaamini katika miungu yao 	female_feminine	5.4075	common_voice_sw_30385284.wav
ukosefu wa amani unatokana na watu kuzingatia tu mahitaji ya kimwili 	male_masculine	6.57565625	common_voice_sw_30735697.wav
lugha ya kiswahili ilitumika katika kueneza dini hiyo 	male_masculine	6.2355	common_voice_sw_29572167.wav
visiwa ambavyo vinapambwa na vivutio mbalimbali 	female_feminine	4.1835	common_voice_sw_30036519.wav
maji yakiteremka kwenye ukingo huchimba lalio la chini chini ya ukingo 	male_masculine	6.7755	common_voice_sw_29896062.wav
wahamiaji wabantu wenye ujuzi wa kilimo na uhunzi 	male_masculine	3.7155	common_voice_sw_36320171.wav
yam ya yako dhiki ya bwana julian 	male_masculine	4.0755	common_voice_sw_36381407.wav
subiri tafadhali 	female_feminine	2.4555	common_voice_sw_37217710.wav
husababisha mtoki kwenye kwapa kinena au shingoni 	male_masculine	5.71165625	common_voice_sw_30629246.wav
ikiwa watu hawana ufahamu nini kinatarajiwa kutoka kwao 	female_feminine	4.9035	common_voice_sw_35279322.wav
katika eneo la maziwa makuu ya afrika ukoo ni kitengo cha shirika la kijamii 	male_masculine	8.2155	common_voice_sw_28691047.wav
hutumika pia kwa kutengeneza rangi nyekundu 	female_feminine	4.6875	common_voice_sw_28718711.wav
maji yanapatikana kwenye mitelemko ya mlima 	male_masculine	4.8675	common_voice_sw_30141385.wav
kufanya kuwa ajali mbaya zaidi ya meli kuliko zote 	male_masculine	4.4355	common_voice_sw_30677299.wav
yai moja la mbuni ni sawa na mayai ishirini ya kuku 	male_masculine	3.6435	common_voice_sw_30327192.wav
na baadaye chuo cha ualimu lumumba kilichopo unguja 	female_feminine	4.3275	common_voice_sw_30629473.wav
baadae aliuawa akiwa tanganyika kwa sasa tanzania 	female_feminine	5.0475	common_voice_sw_30024256.wav
aina ya pili ni mafuta yanapatikana katika kiini cha tunda 	male_masculine	5.8755	common_voice_sw_28682075.wav
uweze kupambana vema na maradhi yatakayoharibu kinga za mwili 	male_masculine	7.6035	common_voice_sw_36299567.wav
uamuzi ambao uliibadili pakubwa historia ya uganda na kushawishi 	female_feminine	6.0555	common_voice_sw_29792370.wav
ee hii pia inatumiwa na kiwanda cha 	female_feminine	3.8235	common_voice_sw_35104137.wav
ukandamizaji dhidi ya tabaka la watu walio na elimu zaidi 	male_masculine	5.6955	common_voice_sw_29796362.wav
kuna visiwa vingi 	male_masculine	2.9955	common_voice_sw_28876251.wav
chakula na usafiri na mengineyo mengi yaliyo muhimu 	female_feminine	4.9035	common_voice_sw_30024971.wav
kwa shabaha ya kusaidia idadi kubwa ya wananchi waliokuwa bila kazi 	female_feminine	4.7955	common_voice_sw_34924683.wav
wanyama hao pia wanabadilishana makazi na wanyama wengine 	female_feminine	5.4435	common_voice_sw_29847597.wav
zimedharauliwa na kutukuza kanuni za kibinadamu 	male_masculine	4.6875	common_voice_sw_29810958.wav
mfululizo wa matukio ya namna hiyo ikiwamo lile la mwandishi aliyekamatwa hivi karibuni 	female_feminine	6.9555	common_voice_sw_30379175.wav
kila sehemu kuna aina fulani ya madini yenye thamani kubwa sana 	female_feminine	5.6955	common_voice_sw_29923203.wav
kujadili jambo hilo na kuridhika kuwa idi amin alitumiwa na mataifa mengine 	male_masculine	5.7675	common_voice_sw_30635726.wav
tunaendelea kuwa karibu nanyi kama ilivyokuwa siku zote ninyi ni sehemu yetu 	male_masculine	7.0275	common_voice_sw_29937021.wav
utamaduni huo ulitumika katika kusherehekea matukio ya nyakati mbalimbali 	female_feminine	6.21565625	common_voice_sw_31808899.wav
walifundishwa jinsi ya kufanya mapenzi na kumridhisha mume 	female_feminine	4.1835	common_voice_sw_29944503.wav
jina hilo walipewa na watani wao wanyamwezi ambao walikuwa wakiwinda pamoja 	female_feminine	7.3155	common_voice_sw_30176519.wav
kama alivyojiwa hapo na mwenzangu victor macsedek 	female_feminine	5.0475	common_voice_sw_34745897.wav
mkoa huu ulikuwa na majimbo ya uchaguzi ambayo ni geita mjini 	female_feminine	6.1635	common_voice_sw_34835479.wav
huvaa nguo mpya wazee hutengeneza pombe na kuandaa sherehe kubwa 	male_masculine	4.8675	common_voice_sw_30019752.wav
taifa ya serengeti ndio hifadhi ya pili kwa ukubwa baada ya hifadhi ya taifa 	female_feminine	6.1635	common_voice_sw_34824374.wav
ngoma kutoka zanzibar ni tofauti na nyingine huzingatia zaidi maadili 	female_feminine	5.6955	common_voice_sw_35105012.wav
karne ya kumi na tano mji huu ulikosa umaarufu na nguvu kama hapo mwanzo 	female_feminine	4.7955	common_voice_sw_30021467.wav
na kuwataka wananchi kutotoa ushirikiano kwa timu ya uchunguzi 	female_feminine	6.3435	common_voice_sw_34811462.wav
tani za kaboni hiyo ni kati ya na miti ndogo 	female_feminine	5.2275	common_voice_sw_35586821.wav
ya maji ya itacara ilichukua sisi wote wa siku 	female_feminine	3.6435	common_voice_sw_34958441.wav
na watu wengi kutoka sehemu mbalimbali wanaelekea kwenye kisiwa hiki hufurahia fukwe 	female_feminine	6.2355	common_voice_sw_30022142.wav
tunaona faraja ya kilimo hiki licha ya changamoto ya hali ya hewa inayotukabili 	male_masculine	7.4235	common_voice_sw_37088586.wav
elfu tatu mia sita ishirini na sita upo kilimanjaro 	female_feminine	5.5875	common_voice_sw_34743031.wav
bwana kingu lakini katika siku za karibuni kumekuwa na na vita 	female_feminine	7.4235	common_voice_sw_34748016.wav
nilichojifunza kutoka kwake ni kwamba watu wanaingia 	female_feminine	4.9035	common_voice_sw_30376288.wav
ilitengenezwa kwa fedha pamoja na sarafu nyingine iliyoitwa heller 	male_masculine	5.1555	common_voice_sw_29941973.wav
